bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,publication_date,publisher
31851,An Introduction to Political Philosophy,Jonathan Wolff,4.11,019929609X,9780199296095,eng,215,767,3/1/2006,Oxford University Press  USA
41348,The Echo Maker,Richard Powers,3.38,312426437,9780312426439,en-US,449,555,8/21/2007,Picador
29621,Midnight Jewels,Jayne Ann Krentz,3.75,446692476,9780446692472,eng,425,1306,7/1/2003,Warner Books
42926,Nightingale's Song,Kate Pennington,3.02,340878754,9780340878750,en-GB,219,40,10/19/2006,Hachette Children's
3638,The Wish Giver: Three Tales of Coven Tree,Bill Brittain\Andrew Glass,3.83,64401685,9780064401685,eng,192,2201,4/2/2019,HarperCollins
27252,Pope Joan,Donna Woolfolk Cross,4.08,345416260,9780345416261,eng,422,56471,6/9/2009,Ballantine Books (NY)
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,9780060920081,eng,299,45712,8/28/1990,William Morrow Paperbacks
11463,In Pharaoh's Army: Memories of the Lost War,Tobias Wolff\Luann Walther,4.08,679760237,9780679760238,eng,240,2398,9/26/1995,Vintage
6838,Easy Prey (Lucas Davenport  #11),John Sandford,4.08,743484185,9780743484183,eng,480,11676,6/1/2004,Simon & Schuster
32053,The Complete Poems (Poetry Library),D.H. Lawrence,4.01,1853264172,9781853264177,eng,704,1564,8/5/1994,Wordsworth Editions
16091,Grendel: Devil by the Deed,Matt Wagner\Rich Rankin\Chris Pitzer\Diana Schutz,4.08,159307736X,9781593077365,eng,48,539,3/27/2007,Dark Horse Comics
13624,The Worm Ouroboros,E.R. Eddison\Keith   Henderson,3.71,486447405,9780486447407,eng,446,2956,4/28/2006,Dover Publications
14137,White Noise: Text and Criticism,Don DeLillo\Mark Osteen,3.87,140274987,9780140274981,eng,538,747,12/1/1998,Penguin Books
11340,Jazz,Toni Morrison,3.81,679411674,9780679411673,eng,229,428,4/7/1992,Alfred A. Knopf
42146,Bones of the Moon (Answered Prayers  #1),Jonathan Carroll,3.89,312873123,9780312873127,eng,224,2046,5/3/2002,Orb Books
12855,Great Short Works of Fyodor Dostoevsky,Fyodor Dostoyevsky\Ronald Hingley,4.42,60726466,9780060726461,eng,768,1330,7/6/2004,Harper Perennial Modern Classics
29255,The Only Dance There Is,Ram Dass\Richard Alpert,4.24,385084137,9780385084130,en-US,192,713,3/5/1974,Anchor
21763,Tripwire (Jack Reacher  #3),Lee Child\Dick Hill,4.09,1593357389,9781593357382,eng,14,18,11/25/2004,Brilliance Audio
7687,Peter Pan and Other Plays,J.M. Barrie\Peter Hollindale,3.97,192839195,9780192839190,eng,384,366,7/15/1999,Oxford University Press
45549,Undaunted Courage,Stephen E. Ambrose\Barrett Whitener,4.21,1415918090,9781415918098,eng,22,8,3/8/2005,Books on Tape
14375,A Reading Guide to Island of the Blue Dolphins,Patricia McHugh,3.89,439463696,9780439463690,eng,64,4,7/1/2003,Scholastic Reference
15600,The Midwife's Tale,Gretchen Moran Laskas,3.83,385335547,9780385335546,eng,256,705,3/2/2004,Delta
37651,Holding On to the Air,Suzanne Farrell\Toni Bentley,4.09,813025931,9780813025933,eng,352,524,9/25/2002,University Press of Florida
12664,Iberia,James A. Michener\Robert Vavra,3.71,449207331,9780449207338,eng,960,2153,10/12/1984,Fawcett Crest Books
12980,Twelfth Night,William Shakespeare\Barbara A. Mowat\Paul Werstine,3.98,743484967,9780743484961,eng,222,188,8/1/2005,Simon  Schuster
14176,Yiddish with Dick and Jane,Ellis Weiner\Barbara Davilman\Gabi Payn,3.92,316159727,9780316159722,en-US,112,373,9/13/2004,Little  Brown and Company
32185,Rurouni Kenshin  Volume 27,Nobuhiro Watsuki,4.38,1421506742,9781421506746,eng,192,1598,6/6/2006,VIZ Media LLC
9660,How to Save Your Own Life: An Isadora Wing Novel,Erica Jong\Anthony Burgess,3.6,1585424994,9781585424993,eng,313,1316,7/6/2006,Tarcherperigee
3976,Hard Freeze (Joe Kurtz  #2),Dan Simmons,3.84,312989482,9780312989484,eng,320,734,9/15/2003,Minotaur Books
11308,Seaward,Susan Cooper,3.97,20421907,9780020421900,eng,167,1756,4/30/1987,Aladdin Paperbacks
619,Vice (V  #8),Jane Feather,3.51,553572490,9780553572490,eng,419,474,5/2/1996,Bantam
9713,El amor en los tiempos del colera,Gabriel Garcia MArquez,3.91,9500703203,9789500703208,spa,451,663,1/1/1992,Sudamericana
23685,Ranma 1/2  Vol. 36 (Ranma ½ (US 2nd)  #36),Rumiko Takahashi,4.14,142150507X,9781421505077,eng,182,863,11/1/2006,Viz Media
435,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,940650762,9780940650763,eng,179,2998,11/1/1986,Sun and Moon Press
24970,Either/Or: A Fragment of Life,Søren Kierkegaard\Victor Eremita\Alastair Hannay,4.17,140445773,9780140445770,eng,640,6405,12/1/1992,Penguin Classics
12095,The Bald Soprano and Other Plays,Eugène Ionesco\Donald M. Allen,4.04,802130798,9780802130792,eng,160,5524,1/12/1994,Grove Press
11690,Istanbul: Memories and the City,Orhan Pamuk,3.79,1400033888,9781400033881,eng,356,11930,7/11/2006,Vintage International
8233,Summertime in the Big Woods,Laura Ingalls Wilder\Renee Graef,4.18,64434974,9780064434973,eng,40,867,2/2/2000,HarperCollins
42924,The Nightingale's Song,Kathleen Eschenburg,3.88,380815699,9780380815692,eng,384,16,10/30/2001,HarperTorch
2698,The Canterbury Tales,Geoffrey Chaucer\David  Wright,3.49,019283360X,9780192833600,eng,465,257,7/9/1998,Oxford University Press
38340,Syntactic Structures,Noam Chomsky\David W. Lightfoot,3.84,3110172798,9783110172799,eng,135,609,9/10/2012,Walter de Gruyter
34002,The Origin of Species/The Voyage of the Beagle,Charles Darwin\Richard Dawkins,4.15,1400041279,9781400041275,eng,1024,513,10/14/2003,Everyman's Library
12771,A Kiss Before Dying (Sweet Valley High  #122),Francine Pascal\Kate William,3.67,553566407,9780553566406,eng,197,267,2/1/1996,Bantam
32350,Mutants & Masterminds: RPG,Steve Kenson\Ramon Perez,3.81,1932442529,9781932442526,eng,253,305,11/1/2005,Green Ronin Publishing
40343,The Full Box (Full  #1-4),Janet Evanovich\Charlotte Hughes,4.29,1593979266,9781593979263,eng,0,101,2/16/2016,Macmillan Audio
16325,Partners in Crime (Tommy and Tuppence #2),Agatha Christie,3.77,7111509,9780007111503,eng,347,10106,1/1/2001,HarperCollins Publishers
16720,As She Climbed Across the Table,Jonathan Lethem,3.67,375700129,9780375700125,eng,212,4488,2/24/1998,Vintage
11741,Housekeeping,Marilynne Robinson,3.82,312424094,9780312424091,eng,219,34723,11/1/2004,Picador USA
25172,The Dirty Duck (Richard Jury  #4),Martha Grimes,3.94,451411390,9780451411396,eng,320,3861,6/1/2004,Onyx
41261,The White Widow,Jim Lehrer,3.04,189162041X,9781891620416,en-US,224,181,5/19/2000,PublicAffairs
