show_id,type,title,director,cast,average_rating,country,date_added,release_year,rating,duration,listed_in,description
s1297,TV Show,Planet Egypt,,,2.29,,,2011,TV-14,1 Season,Documentary,Planet Egypt recounts the epic history of Ancient Egypt and its Pharaohs from the pre-dynastic period through to the late dynasties. Each episode addresses one aspect of Egypt’s enormous success including the unlikely rise of its first powerful rulers the wars they fought the spiritual grounding that held the society together and the grand quest for immortality pursued by the Pharaohs.
s195,TV Show,Vella Raja (Tamil),,,4.93,,,2018,16+,1 Season,Drama\International\Suspense,The cat and mouse game begins with Theresa’s posting in Chennai. Her vow to clean up the city from drugs leads her to Deva. Deva’s drive to be the drug lord is paved with murders and politics. People who enter Bava Lodge on that day are caught in the crossfire of deceit and betrayal between Deva and Theresa. Who will survive in the lodge? Will Theresa be able to catch Deva and end the drug war?
s7676,Movie,Bit,Brad Michael Elmore,Diana Hopper\Nicole Maines\James Paxton,4.56,,,2020,18+,94 min,Horror,When two beautiful college girls move across the street from Derek and Chad sinister things begin to happen.
s943,Movie,Song Of Texas,Joseph Kane,Roy Rogers\Sheila Ryan,4.82,,,1943,ALL,53 min,Action,"Roy ""loans"" his ranch to a ranch-hand - a former rodeo champion now a reformed alcoholic - to help him impress his daughter. However Roy is stymied when she sells half to a foe. To get back his property Roy must win a chuck-w"
s9357,Movie,Zombie Massacre,Luca Boni\Marco Ristori,Christian Boeving\Mike Mitchell\Tara Cardinal,4.42,,,2013,18+,91 min,Action\Horror\Science fiction,As snow-covered Toy Town excitedly prepares for Christmas Noddy's mission is to finally meet Santa Claus. On a visit to Big-Ear's house Noddy's wish actually comes true! But Santa Claus is in big trouble! With his new friends Santa and Dasher the reindeer Noddy goes on a whirlwind adventure to Save Christmas...!
s5536,TV Show,Pinkfong! Learn Names with Hogi,,,2.66,,,2021,ALL,1 Season,Animation\Kids,Adrift in New York City a recent college graduate seeks the guidance of an eccentric neighbor as his life is upended by his father’s mistress in the sharp and witty coming-of-age story The Only Living Boy in New York.
s2613,Movie,Dr. Poppy's Pet Rescue,Christian Hughes,,1.6,,,2019,ALL,39 min,Kids,"This is a hilarious twist on the old ""Dr. Jeckyl and Mr. Hyde"" theme. He became Dr. Hype – good-looking on the outside and very bad on the inside. Which man will the lady love?"
s1236,TV Show,Python for Everybody,,Dr. Charles Russell Severance,3.2,,,2016,,1 Season,Special Interest,This is a set of lectures covering 16 chapters of the textbook Python for Everybody (PY4E). The textbook is available on Amazon and Kindle and there is a supporting web site with exercises and materials.
s4664,TV Show,Pinkfong! Sports Club,,,3.83,,,2021,ALL,1 Season,Animation\Kids,"Named after Hitler's failed coup attempt ""Beer Hall Putsch"" takes you into acerbic comic Doug Stanhope's twisted mind at a gig filmed in Portland."
s4616,Movie,Learn Colors With Face Painting,HooplaKidz,,1.71,,,2019,ALL,5 min,Kids\Special Interest,If you liked Werner Herzog's Happy People Trapper Jake is a must see. Trapper Jake tells the true life story about Jake Korell a German born Russian immigrant American trapper. A cinematographic work of art Trapper Jake depicts a way of life that may be gone forever but which holds many life lessons in the struggle for survival that are still relevant today.
s3822,Movie,Mad Money,Callie Khouri,Diane Keaton\Katie Holmes\Queen Latifah\Ted Danson,1.73,,,2008,PG-13,104 min,Action\Comedy\Suspense,When a small-town foul-mouthed drunk with an artistic gift for thievery is entrusted with his young niece for the summer the question is not if she is ready for the task at hand. But is he?
s4433,Movie,Strangers,Chaitanya Reddy Vaka,Sai Ketan Rao\Insha Iqbal,3.14,,,2021,16+,41 min,Romance,Corelli is up to his neck in a case that may lead where he doesn't want to go. Chazz Palminteri portrays Matt an attorney and Corelli's longtime pal. Linda fiorentino is Matt's wife Trina: a pyschologist who's capable of anything even murder.
s397,Movie,The Who - Sensation The Story Of Tommy,Martin R Smith,The Who,1.49,,,2014,16+,80 min,Documentary\Music Videos and Concerts,This fascinating film made with the total co-operation of the band tells how The Who struggled to create the first Rock Opera Tommy and how its success changed their lives.
s3039,TV Show,Blippi - Educational Songs for Kids,,Stevin John,3.72,,,2016,ALL,1 Season,Kids,Black White & Us explores racism in America through the lives of four white families who adopt African American children and must overcome their own inherent biases to become advocates. Is there a way to fix our country's racial divide? These transracial adoptive families just might provide the answer.
s6757,Movie,Yakov Smirnoff: Jokes From The Folks,Yakov Smirnoff,Yakov Smirnoff,2.95,,,2004,16+,45 min,Arts\Entertainment\and Culture\Comedy\Special Interest,Harichandra (Sivaji) had never lied to anyone in his life. Viswamithra (Nambiar) challenges that he will make Harichandra to lie. Viswamithra tries various methods to make Harichandra suffer. Harichandra even sells his wife and himself to keep up his words till the end.
s2206,TV Show,Hitorijime My Hero,,,3.41,,,2017,TV-14,1 Season,Anime\Comedy\International,This dramatic and in-depth series analyzes the motives and methodology of the individuals and organizations that planned to kill Hitler.
s5111,Movie,Line Walker 2: Invisible Spy,Jazz Boon,Louis Koo\Nick Cheung\Francis Ng,3.93,,,2019,16+,98 min,Action,Starring Ashley Bell and Sara Rue. Molly is struggling to adapt to motherhood when a new friendship with Beth lifts her spirits. But things turn dark when Beth's intentions become clear.
s2924,TV Show,Camp X and the Birth of the CIA,,,2.31,,,2014,16+,1 Season,Documentary\Drama\Special Interest,"When Jennifer Laude a filipina transwoman is brutally murdered by a U.S. Marine three women intimately invested in the case-an activist attorney (Virgie Suarez) a transgender journalist (Meredith Talusan) and Jennifer's mother (Julita ""Nanay"" Laude)-galvanize a political uprising pursuing justice and taking on hardened histories of US imperialism."
s1086,TV Show,SciGirls,,,3.08,,,2010,NR,1 Season,Kids,From PBS - In the first season of SciGirls the girls with the help of scientist mentors design their own inquiry-based investigations on a huge variety of topics from the environment to technology and from engineering to nutrition.
s4990,TV Show,Cruising the Cut,,,3.48,,9-May-21,2021,13+,4 Seasons,Documentary\Special Interest,Privileged son of a high-profile wealth manager Dan had it easy until he waged everything on a big gamble and lost. His clients friends and the hotel employees recognize Dan for who he really is: a naive yet ambitious narcissist. Stranded while traveling for work Dan is forced to live off the only two assets he has left: his unquestionable charisma and a massive cache of hotel points.
s144,Movie,We'll Take Manhattan,John McKay,Frances Barber\Aneurin Barnard\fiona Button,1.04,,,2012,16+,89 min,Drama\Romance,A look at the love affair between 1960s supermodel Jean Shrimpton and photographer David Bailey.
s4974,Movie,Hoop Soldiers,Chris Rogers,Tank Jones\Cassandra King,1.8,,,2001,R,99 min,Action\Sports,A slacker (Nick Kroll) and his blind athlete brother (Adam Scott) compete for the love of the same woman (Jenny Slate) in this hilarious comedy.
s4275,Movie,Philip Roth: Unmasked,William Karel,Philip Roth,1.72,,,2013,,84 min,Documentary,Stuck in the angst of wondering who she is and what she's meant to be doing with her life Loz a 25-year-old aspiring playwright finally thinks she's found the answer to all her issues. Its name is Dave.
s1625,TV Show,Monster High Adventures of the Ghoul Squad,,,4.37,,,2017,TV-Y7,1 Season,Animation\Kids,Draculaura Frankie Clawdeen and their ghoulfriends combine their wits and monsteriffic abilities as they travel to exotic locations solve spine-tingling mysteries and rescue monsters who are hiding from a world that fears and doesn't understand them. So how do you track these missing monsters down and bring them back to their new home at Monster High? You call The Ghoul Squad!
s1260,TV Show,Prime Suspect: Tennison,,,2.06,,,2017,TV-14,1 Season,Drama\Historical\Suspense,This is the much-anticipated prequel to award-winning global hit Prime Suspect. Rewind to 1970s London to portray the early career of the formidable DCI Jane Tennison (Stefanie Martini) the role that established Dame Helen Mirren as a household name. We meet Jane as an ambitious 22-year-old probationary officer starting out as a WPC in a world where chauvinism and rule-bending are the norm.
s7399,TV Show,JUHOU 2405 Reason of my death,,Ai Takahashi,2.22,,,2012,TV-NR,1 Season,Horror,A successful and popular nightclub owner who believes financial independence is the path to equality and success must act as a go-between for militant-minded brother and the white gang syndicate his brother has attacked and robbed. Their involvements lead to a breathless race course chase the destruction of a dopepusher and a violent waterfront climax.
s6690,Movie,Evocateur: The Morton Downey Jr. Movie,Seth Kramer\Daniel A. Miller\Jeremy Newberger,Morton Downey Jr,4.4,,,2013,R,90 min,Documentary,Lisa a plus sized African American woman concludes that her boyfriend dumped her because of her weight. Now in quarantine lockdown she will use the next 40 days to try and lose the weight in hopes of winning him back.
s1212,Movie,Rammstein: Paris,Jonas Åkerlund,Rammstein,4.59,,,2017,R,128 min,Music Videos and Concerts,In RAMMSTEIN: PARIS director Jonas Åkerlund captures the thrill of a one-of-a-kind live performance and creates a fast-paced feast for all senses: a dark and spectacular fairytale laced with controversy and don’t-try-this-at-home theatrics.
s1298,Movie,Pit Stop,Yen Tan,Bill Heck\Marcus DeAnda\Amy Seimetz,1.03,,,2014,18+,81 min,LGBTQ\Romance,"In this compelling drama openly gay Ernesto and closeted Gabe grapple with the sad tribulations of being gay in a small working-class Texas town. Reminiscent of such classic rural gay love stories as ""Big Eden"" and ""Brokeback Mountain"" this festival hit is an uplifting love story about male intimacy the heartache of unsuccessful relationships and the transformative power of love."
s9463,Movie,Clip: Act 5 - Title 5,1,1,2.39,,,2021,ALL,61 min,Animation,Dave a struggling farmer from a poverty town of Haiti suddenly becoming a single father believes his wife death was the reason of a voodoo priest. Giving an opportunity to escape into the US but however from the moment arrived trouble seemed to follow. this picture depict an immigrant man faced with no options is a dangerous one.
s2580,Movie,Edge of Doom,Mark Robson,Dana Andrews\Farley Granger\Joan Evans,3.86,,,1950,13+,98 min,Drama,Comedic force of nature Eddie Pepitone delivers a darkly funny rage-fueled performance in Brooklyn where he discusses the perils of being a male model speaking to his dog like his therapist and the death of the American Dream.
s752,Movie,The Basket,Rich Cowan,Peter Coyote\Karen Allen\Robert Burke,1.45,,,2000,PG,105 min,Drama\Sports,A picturesque Pacific Northwest community raising its wheat and children in the midst of a nation reeling from World War I sets the stage for The Basket. In a time of pain and prejudice woven against a background of beauty The Basket ultimately points to triumph and hope in a changing America.
s3062,Movie,Birdmonster,,,1.55,,,2011,NR,30 min,Music Videos and Concerts,This film follows a retired Border Patrol agent (Dante) as he discovers the possible existence of Bigfoot and the shroud of darkness that surrounds it. Unsure what he should do he is resigned to do what he must to protect his family. As Dante hunts the creature he discovers further complexities in this hidden in plain sight world.
s2052,Movie,Jay Mohr: American Treasure,Sam Macaroni,Jay Mohr,3.06,,,2020,18+,64 min,Arts\Entertainment\and Culture\Comedy\Special Interest,filmed in beautiful Lake Tahoe California a mountie comes to the aid of a woman and her mute friend who are being terrorized because of a treasure hidden on their land. Kazan the dog is the only one to recognize the murderer of the woman's father. After they learn the secret of the whereaouts of the gold thanks to an Edgar Allan Poe novel the villain escapes but Kazan tracks him down. A great mountie and hero dog actionier!
s3016,TV Show,Boarding School Juliet,,Yuki Ono\Ai Kayano\Ayane Sakura\Yu Shimamura,3.4,,,2018,NR,1 Season,TV Shows,Based on a true story James Cagney stars as an American reporter in pre-war Japan in this riveting brutal action-packed film tracing the unintended unveiling of the dreaded Tanaka Plan for Japanese world domination. Cagney given a purloined copy of the plan is pursued by a beautiful Japanese secret agent (Sylvia Sidney) sent to romance and ensnare him before he can get it to the American Embassy and into the world press.
s2154,Movie,I Can't Believe I'm Telling You This,Mike Christie,,3.11,,,2009,13+,61 min,Documentary,A bone-chilling story of cemetary manager Robert Craft (Boone) a disturbed man who comes to believe that he is actually God. Robert discovers that when he sticks a black pin into a wall-sized map of the cemetary he can cause the owner of that plot to die. After several such untimely deaths Robert believes he has the power of life and death. But will Robert still believe this once he discovers the true secret behind these deaths?
s2366,Movie,Get A Job,James Reed Jr.,Lil Rel Howery\Corey Hendrix,2.02,,,2020,16+,91 min,Comedy,"You Are All Diseased is a new collection of Carlin comedy never before seen on home video. The hilarious routines include ""Airport Security"" ""Fear of Germs"" "" Businessmen"" and ""Religion."""
s4206,Movie,Christian Hymns,Mark Knight,Ken Elkinson,2.37,,,2016,ALL,27 min,Faith and Spirituality\Music Videos and Concerts,Maggie (Holly Taylor) has spent her entire life under the fanatical rule of her father Harold (Bruce Davison) a devout zealot. But after three strangers break down near their remote compound family truths will meet violent ends.
s882,Movie,Storytime with Mila and Morphle,Arthur van Merwijk,Sabrina Glow,4.82,,,2019,ALL,38 min,Animation\Kids,In this compilation of My Magic Pet Morphle watch Morphle as he morphs into Mila a big red truck and a big red magical reindeer!
s1136,TV Show,Rome - Empire Without Limit,,Mary Beard,4.56,,,2016,16+,1 Season,Documentary\Special Interest,Traveling from Spain to Israel Algeria to Britain Germany to Turkey historian Mary Beard answers the big questions that have fascinated people for centuries. How did a small city Rome acquire an empire? And why did it fall? Mary examines its creation successes failures and the legacy not just in its technology and buildings its roads and laws but also in the worlds that came after it.
s268,TV Show,Trapped [English Subtitled],,,4.77,,,2019,TV-14,2 Seasons,TV Shows,When a man immolates himself and a government Minister outside Parliament in Reykjavik Police chief Andri Ólafsson is in charge of the case. This takes him back to the town he left behind where darker secrets than he knew lurk in the mountains and valleys around the fjord. Then the brutal murder of the foreman at a geothermal power plant raises questions.
s449,Movie,The Sklar Brothers: What Are We Talking About?,Jay Chapman,Jason Sklar\Randy Sklar,3.42,,,2014,18+,69 min,Arts\Entertainment\and Culture\Comedy\Special Interest,The Sklar Brothers bring their A Game to Madison Wisconsin with their energetic new comedy special. Watch the former zygote duo duke it out over sports mullets and airport etiquette invoking their powerhouse humor worthy of the hall of fame.
s627,TV Show,The Haunting Of. . .,,,3.27,,,2012,TV-PG,1 Season,Horror\Suspense,"Each episode of ""The Haunting Of"" features celebrities' real-life encounters with the paranormal as they return to the site of their experience with psychic-medium Kim Russo."
s3409,Movie,A Journey Around the Globe for Kids,Mark Knight,,4.63,,,2019,ALL,60 min,Documentary\Special Interest,Everybody's dream girl. One girl's nightmare. Based on a million true stories a girl like her follows 16-year-old Jessica and her hidden camera that documents the merciless bullying handed down by Avery the most popular girl in school.
s2108,TV Show,Informer,,,2.88,,,2019,18+,1 Season,Drama,A man trapped in an automated prison must outsmart a computer in order to escape and try and find his way back to the outside world that may already be destroyed.
s4011,Movie,Marc Maron: Thinky Pain,Lance Bangs,Marc Maron,1.07,,,2013,18+,94 min,Arts\Entertainment\and Culture\Comedy\Special Interest,"A young woman leaves the sanitarium to watch over her grandmother's house. As she descends into madness she must decide whether to be devoured or embrace her true nature in this reimagining of ""Little Red Riding Hood and the Wolf."""
